2026-03-26 12:19:10 | INFO | src.clean_data | Rows after cleaning 0 rows
2026-03-26 12:19:10 | INFO | __main__ | 3) SAVE processed data
2026-03-26 12:19:10 | INFO | src.utils | Saving CSV to C:\Users\ricar\OneDrive\Documentos\0. Maestria\5. Term 2\MLOps\1-mlops-kickoff-repo\data\processed\clean.csv
2026-03-26 12:19:10 | INFO | __main__ | 4) VALIDATE training data
2026-03-26 12:19:10 | INFO | src.validate | Validating dataframe
2026-03-26 12:19:10 | INFO | __main__ | 5) SPLIT train/val/test
2026-03-26 12:19:10 | INFO | __main__ | Split sizes | train=(1659, 15) | test=(415, 15)
2026-03-26 12:19:10 | INFO | __main__ | Running fail-fast feature configuration checks
2026-03-26 12:19:10 | INFO | __main__ | 6) BUILD feature recipe
2026-03-26 12:19:10 | INFO | src.features | Building ColumnTransfomer
2026-03-26 12:19:10 | INFO | __main__ | 7) TRAIN base model pipeline
2026-03-26 12:19:10 | INFO | src.train | Training model pipeline for regression
2026-03-26 12:19:10 | INFO | src.train | Model training completed
2026-03-26 12:19:10 | INFO | __main__ | 8) EVALUATE on validation split
2026-03-26 12:19:10 | INFO | src.evaluate | Starting evaluation
2026-03-26 12:19:10 | INFO | src.evaluate | Metrics={'mae': 438.5683402334601, 'rmse': 905.1857525365381, 'r2': 0.6290864490092116}
2026-03-26 12:19:10 | INFO | __main__ | Held-out RMSE: {'mae': 438.5683402334601, 'rmse': 905.1857525365381, 'r2': 0.6290864490092116}
2026-03-26 12:19:10 | ERROR | __main__ | Pipeline failed
Traceback (most recent call last):
  File "C:\Users\ricar\OneDrive\Documentos\0. Maestria\5. Term 2\MLOps\1-mlops-kickoff-repo\src\main.py", line 450, in main
    wandb.log(
    ~~~~~~~~~^
        {"tables/metrics_comparison_val": wandb.Table(dataframe=comparison_df)})
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\ricar\anaconda3\envs\mlops-student-env\Lib\site-packages\wandb\sdk\wandb_run.py", line 399, in wrapper
    return func(self, *args, **kwargs)
  File "C:\Users\ricar\anaconda3\envs\mlops-student-env\Lib\site-packages\wandb\sdk\wandb_run.py", line 457, in wrapper_fn
    return func(self, *args, **kwargs)
  File "C:\Users\ricar\anaconda3\envs\mlops-student-env\Lib\site-packages\wandb\sdk\wandb_run.py", line 444, in wrapper
